"고객주소시군구(CUSTM_GU_NM)","고객주소행정동(CUSTM_DONG_NM)","가맹점주소시군구(STORE_GU_NM)","가맹점주소행정동(STORE_DONG_NM)","업종(UPJONG_NM)","일별(DATE)","성별(GENDER)","연령대별(AGE_GR)","카드이용금액(USE_AMT)","카드이용건수(USE_CNT)"
"송파구","평창동","영등포구","사당4동","샌드위치/토스트","20191229","F","30대초",75240,177.84
"은평구","시흥1동","성북구","가락본동","커피","20190505","F","20대후",628740,109.78
"마포구","역촌동","광진구","노량진1동","가정식","20180310","F","30대후",2672640,25.2
"양천구","숭인2동","마포구","이화동","단품요리 전문","20190224","M","30대후",2727000,181.44
"양천구","신정7동","동작구","종로1.2.3.4가동","커피","20190218","F","60대후",885500,177.84
"광진구","미성동","동대문구","제기동","일식","20170612","F","40대초",5999400,178.56
"서초구","상계9동","관악구","여의동","양식","20190210","M","20대후",1249920,19.76
"양천구","행운동","용산구","구로3동","가정식","20181227","F","50대초",392800,177.84
"용산구","이촌1동","영등포구","논현1동","단품요리 전문","20181021","M","30대후",441792,179.64
"구로구","신림동","종로구","종로1.2.3.4가동","양식","20180608","M","30대초",500960,178.2
"성동구","양평1동","성북구","문래동","일식","20180129","F","30대초",458810,177.84
"성북구","반포본동","광진구","성수2가1동","가정식","20170506","M","50대초",378000,180.36
"용산구","송천동","용산구","가양1동","단품요리 전문","20190826","M","50대초",533520,19.96
"관악구","창2동","광진구","종로1.2.3.4가동","단품요리 전문","20170413","M","50대초",8269560,29.64
"강동구","방배1동","성동구","서초3동","커피","20180921","M","20대후",262600,174.6
"양천구","자양4동","용산구","갈현2동","단품요리 전문","20181214","F","30대초",783484,44.37
"성동구","불광1동","관악구","신촌동","단품요리 전문","20190323","F","20대후",1060618,65.39
"관악구","청림동","중구","신월5동","가정식","20180307","M","50대후",894880,116.4
"성북구","성수1가1동","중구","방배2동","가정식","20190620","M","20대초",86625,181.8
"서초구","용답동","종로구","영등포본동","주스","20190413","M","40대후",2697240,57.36
"관악구","문정2동","용산구","청담동","중식","20170107","F","30대초",908960,43.02
"중구","문정1동","마포구","청파동","단품요리 전문","20170221","F","50대초",2163720,126.9
"양천구","창2동","은평구","청파동","베이커리","20191116","F","20대후",3170048,30.06
"성북구","성수1가1동","종로구","서원동","분식","20180114","M","30대초",793584,64.96
"동대문구","가양1동","동작구","영등포동","가정식","20190811","F","30대초",1481800,84.32
"서초구","불광1동","서대문구","우이동","가정식","20170729","M","50대초",507600,58.56
"관악구","불광1동","동대문구","대치4동","단품요리 전문","20170123","M","50대후",275280,362.88
"도봉구","광장동","성동구","삼성1동","가정식","20170419","F","40대초",362160,9.82
"동작구","반포1동","관악구","성수1가2동","단품요리 전문","20181209","F","30대초",518700,182.52
"송파구","풍납1동","용산구","홍제1동","단품요리 전문","20180420","F","20대후",16005600,35.49
"관악구","신월5동","영등포구","서원동","단품요리 전문","20180509","F","30대후",362160,182.52
"광진구","방배3동","강서구","신촌동","베이커리","20170930","F","30대초",9780,64.35
"송파구","신정3동","서초구","혜화동","단품요리 전문","20171213","F","50대초",47424,170.34
"성동구","홍제1동","동작구","남영동","단품요리 전문","20181021","F","20대후",936540,121.2
"성북구","오금동","용산구","명동","가정식","20190928","F","20대후",8792042.4,180.36
"종로구","상도1동","마포구","도봉2동","가정식","20181029","F","40대초",6272100,157.74
"관악구","상계2동","중구","가산동","단품요리 전문","20171007","F","30대후",340560,43.92
"서대문구","잠실3동","서초구","중앙동","가정식","20180901","F","50대초",960336,132.44
"서대문구","목2동","강남구","역삼1동","가정식","20180706","M","20대후",430200,99.2
"강서구","개봉1동","강남구","신사동","중식","20171220","M","20대후",1062720,178.56
"마포구","군자동","중구","상도1동","커피","20181106","F","40대초",944350,111.1
"광진구","우이동","노원구","화양동","가정식","20170223","F","30대초",1347300,93.67
"중구","보라매동","서대문구","망원1동","가정식","20180531","M","30대초",594720,29.46
"강남구","용문동","금천구","공항동","중식","20170610","F","20대후",595980,51.92
"은평구","방학2동","종로구","신촌동","단품요리 전문","20181208","M","20대초",3572800,44.37
"서대문구","독산2동","강동구","삼성1동","단품요리 전문","20171220","F","20대후",175680,121.2
"성동구","신대방2동","양천구","상도1동","가정식","20190106","F","50대후",1865760,29.58
"송파구","홍제2동","중구","서교동","가정식","20171104","M","20대후",84504,177.84
"서대문구","자양4동","강남구","을지로동","단품요리 전문","20180218","F","50대후",4247050,281.68
"성북구","개봉1동","서초구","종로1.2.3.4가동","가정식","20190828","F","20대후",207480,60.6
"강동구","행운동","강남구","한강로동","가정식","20180106","F","60대후",1121100,172.08
"동작구","세곡동","강북구","명동","중식","20180512","M","30대후",918720,176.04
"강북구","신길7동","강서구","사당4동","커피","20190511","F","30대후",873180,25.25
"종로구","성수1가2동","종로구","갈현2동","치킨","20171016","M","20대초",11249280,51.04
"동대문구","독산2동","관악구","여의동","가정식","20190728","F","50대후",3369960,80.96
"성동구","성수1가2동","용산구","용강동","스테이크","20190803","F","40대초",2311920,151.5
"영등포구","성북동","용산구","역삼1동","단품요리 전문","20180702","F","50대초",1052128,177.48
"성북구","충현동","용산구","광희동","가정식","20170521","M","20대후",633780,20.04
"동대문구","구의1동","서대문구","압구정동","가정식","20170520","M","40대초",790920,10.02
"송파구","답십리1동","강동구","종로1.2.3.4가동","양식","20180410","M","20대초",385770,178.56
"마포구","성수1가1동","서초구","남영동","가정식","20170318","F","20대후",1753920,5.04
"동대문구","홍제3동","송파구","종로1.2.3.4가동","단품요리 전문","20191213","F","30대초",4363200,181.08
"양천구","대조동","동작구","한남동","단품요리 전문","20180303","M","40대후",4753000,4.72
"마포구","수유2동","동대문구","사당2동","가정식","20180305","M","20대후",6186900,177.84
"종로구","방이1동","마포구","이태원1동","햄버거","20171010","M","60대초",41990,178.2
"서초구","서초1동","용산구","합정동","커피","20190311","F","50대초",6337440,181.08
"영등포구","신도림동","강남구","성내1동","커피","20181121","M","40대초",1419840,174.6
"강북구","창1동","종로구","낙성대동","가정식","20190922","M","20대후",211068,50.5
"마포구","금호2.3가동","서초구","논현2동","가정식","20190525","F","20대후",343700,106.47
"마포구","창3동","강남구","대치2동","단품요리 전문","20170519","M","30대초",3564000,101
"강동구","면목본동","송파구","청파동","가정식","20180906","M","30대초",1382892,182.52
"중구","남가좌2동","중구","방배1동","분식","20170908","F","20대후",93104,163.02
"관악구","쌍문4동","강남구","성수2가3동","양식","20190810","F","30대초",4526820,181.44
"광진구","여의동","마포구","방배2동","단품요리 전문","20190116","M","40대후",161210,182.52
"도봉구","한남동","서초구","사근동","단품요리 전문","20170822","M","30대후",528120,181.8
"금천구","보라매동","강서구","평창동","단품요리 전문","20181229","M","30대초",2585600,49.1
"중랑구","잠실본동","강남구","이태원1동","단품요리 전문","20190824","M","50대후",2030400,35.35
"종로구","중곡3동","강남구","아현동","단품요리 전문","20170303","M","40대후",352800,177.84
"종로구","반포3동","종로구","종로1.2.3.4가동","커피","20170619","M","30대후",354000,20.28
"은평구","왕십리2동","마포구","삼성1동","햄버거","20190331","F","20대후",547925,181.8
"양천구","대림2동","동작구","종로1.2.3.4가동","일식","20190707","F","50대후",494900,181.8
"강서구","마천1동","관악구","사근동","가정식","20191013","M","20대후",961350,176.04
"성동구","장안1동","마포구","염창동","구내식당/푸드코트","20180318","F","50대초",1037070,354.24
"중랑구","다산동","서대문구","역삼1동","양식","20170218","M","50대초",5335200,14.1
"도봉구","공릉2동","영등포구","종로1.2.3.4가동","단품요리 전문","20190419","M","20대후",28389888,24.8
"성동구","화곡1동","금천구","서교동","일식","20170518","M","20대초",1630980,20.04
"서대문구","왕십리2동","서초구","반포4동","커피","20180530","M","20대후",301568,55.44
"강동구","서초1동","광진구","대치4동","단품요리 전문","20170711","M","30대초",58200,181.44
"종로구","양재1동","서초구","구로5동","커피","20180916","F","60대후",1333800,50.1
"서대문구","서강동","영등포구","낙성대동","단품요리 전문","20190722","F","20대후",2272500,66.08
"성북구","서원동","중구","종로1.2.3.4가동","단품요리 전문","20180521","M","20대후",6175000,44.37
"동대문구","석관동","서대문구","서원동","양식","20191105","F","60대초",4363200,170.28
"양천구","석관동","용산구","이화동","가정식","20191214","F","50대초",272700,148.2
"성동구","상계1동","광진구","반포4동","단품요리 전문","20180209","M","30대초",3264470,147.3
"구로구","쌍문2동","강동구","이태원1동","가정식","20180301","M","30대후",185104,29.64
"양천구","응암2동","종로구","신촌동","단품요리 전문","20181031","M","40대초",1784160,176.76
"강서구","황학동","중구","역삼1동","단품요리 전문","20170124","F","40대후",2798700,179.64
"서초구","신림동","서대문구","홍은1동","중식","20180501","F","50대초",880200,181.8
"양천구","사당4동","동작구","역삼2동","단품요리 전문","20171102","F","30대초",454720,44.37
"동작구","하계2동","양천구","불광1동","가정식","20190319","M","20대후",1126845,176.76
"강동구","가산동","영등포구","송중동","중식","20190424","F","50대초",10749456,15.15
"강북구","신길7동","종로구","서초4동","가정식","20191213","M","20대초",5771520,177.48
"강남구","답십리1동","은평구","문래동","커피","20180123","F","50대후",340560,60.6
"서대문구","방학1동","은평구","신촌동","단품요리 전문","20191001","M","40대후",1858428,50.5
"강남구","구로3동","종로구","서교동","아이스크림/빙수","20190818","F","40대후",3825216,108.68
"서대문구","동선동","강동구","천호3동","가정식","20170826","M","30대초",15296,86.19
"강서구","면목7동","강동구","청담동","가정식","20171029","M","30대초",65130,110.22
"동대문구","논현2동","강남구","동선동","중식","20190705","M","20대후",82335,132.57
"광진구","용강동","마포구","삼성1동","햄버거","20190315","F","60대초",4959360,128.44
"관악구","신당동","강남구","명동","커피","20181207","M","30대초",4082040,119.76
"관악구","상도3동","마포구","신길6동","단품요리 전문","20180820","F","30대초",1739220,50.6
"마포구","대림3동","마포구","낙성대동","단품요리 전문","20170717","M","30대초",780192,170.28
"강남구","청담동","광진구","종로1.2.3.4가동","치킨","20180419","F","30대초",1189440,177.84
"은평구","신정3동","강남구","청파동","베이커리","20190315","M","20대후",2727000,51.7
"은평구","가산동","중구","종로5.6가동","분식","20190210","F","20대후",1478952,181.08
"동작구","홍제1동","강남구","여의동","단품요리 전문","20190824","M","40대초",766260,55.68
"성동구","서초1동","중랑구","대치2동","양식","20170414","F","30대후",602280,180.36
"동작구","창1동","서초구","상계1동","단품요리 전문","20190722","F","40대초",556800,74.25
"서초구","갈현1동","동대문구","삼선동","치킨","20190312","F","40대초",1767600,19.76
"동대문구","목3동","중랑구","삼성1동","단품요리 전문","20180603","F","20대후",49350,177.84
"서대문구","공릉1동","광진구","이화동","단품요리 전문","20180610","M","30대초",2479320,121.68
"관악구","창5동","광진구","신촌동","단품요리 전문","20190401","M","20대초",6344000,59.28
"강동구","보문동","용산구","서교동","단품요리 전문","20170826","F","50대후",206492,169.2
"서초구","상계6.7동","용산구","영등포동","양식","20171206","F","30대후",1376640,170.28
"서초구","장안1동","종로구","신길5동","일식","20180822","F","20대후",3722400,85.85
"중랑구","상도3동","관악구","미성동","가정식","20171102","M","30대초",1363500,181.8
"도봉구","전농1동","은평구","삼성2동","단품요리 전문","20190528","M","50대후",27170,167.04
"광진구","송중동","도봉구","역삼1동","단품요리 전문","20190902","F","40대후",993300,120.72
"금천구","길동","마포구","쌍문2동","단품요리 전문","20180526","F","50대후",1071360,169.92
"동작구","역삼2동","성동구","종로1.2.3.4가동","단품요리 전문","20170818","M","50대후",21242,170.28
"도봉구","하계2동","서초구","종암동","단품요리 전문","20190802","F","30대초",4539600,172.9
"영등포구","방배3동","금천구","송파1동","가정식","20180805","M","50대초",1702800,160.48
"강남구","등촌2동","동대문구","용신동","가정식","20190619","F","50대초",1067040,99.8
"은평구","공항동","마포구","합정동","커피","20190605","M","70대이상",396800,180.36
"영등포구","신정7동","종로구","보문동","일식","20190717","F","20대후",909000,176.76
"양천구","중계1동","송파구","조원동","가정식","20190309","M","40대초",1018080,37.84
"금천구","성산2동","중구","방배본동","단품요리 전문","20191128","M","40대후",4694976,181.8
"강동구","중화1동","은평구","반포1동","햄버거","20180922","M","40대초",860400,28.38
"구로구","하계1동","종로구","홍은1동","햄버거","20180424","M","20대후",270540,88.38
"양천구","영등포본동","마포구","신촌동","단품요리 전문","20180202","M","30대후",736320,177.48
"광진구","송파1동","강북구","신촌동","가정식","20191014","F","20대후",3449628,51.04
"노원구","신월1동","강서구","대학동","단품요리 전문","20180813","F","40대후",254904,35.35
"마포구","불광2동","관악구","삼성1동","치킨","20190427","M","60대후",1001880,23.2
"동대문구","천연동","마포구","혜화동","치킨","20170910","M","30대후",2398750,33.11
"관악구","평창동","중구","신사1동","단품요리 전문","20190225","F","50대초",1526940,33.46
"양천구","신월1동","성북구","잠원동","베이커리","20191214","M","70대이상",545400,176.76
"관악구","종로5.6가동","종로구","구의3동","일식","20170608","M","20대후",5289600,66.08
"송파구","노량진1동","마포구","여의동","커피","20190803","M","40대초",1088640,24.6
"송파구","공릉1동","성동구","영등포본동","치킨","20180421","M","20대후",4928040,70.7
"강서구","신월7동","성북구","가산동","햄버거","20181124","M","50대초",1067040,108.02
"송파구","길음1동","마포구","논현1동","단품요리 전문","20190704","M","30대초",369705,56.64
"중랑구","인헌동","마포구","자양4동","가정식","20190711","M","20대후",8943480,151.04
"동작구","길음1동","용산구","회기동","단품요리 전문","20190411","M","40대초",1287680,10.1
"은평구","장지동","종로구","합정동","단품요리 전문","20180805","M","30대초",88920,116.61
"강서구","갈현2동","종로구","회현동","양식","20170624","F","30대초",1247400,113.62
"송파구","삼선동","노원구","성수2가3동","차","20180513","F","30대초",425700,169.92
"용산구","양평1동","종로구","서초3동","커피","20170126","F","30대초",4259520,10.1
"마포구","대림2동","마포구","왕십리도선동","구내식당/푸드코트","20180923","M","50대후",6620250,94
"성북구","세곡동","서초구","서교동","가정식","20180822","F","20대초",852150,60.32
"마포구","홍제1동","서대문구","능동","가정식","20180310","F","30대초",543240,166.26
"관악구","연희동","마포구","잠실본동","중식","20181203","F","40대후",382980,13.92
"용산구","구의1동","마포구","신촌동","단품요리 전문","20170616","M","20대후",1801152,180.36
"동작구","등촌1동","양천구","노량진2동","양식","20180416","F","20대후",1273125,177.84
"강동구","방배본동","금천구","신촌동","단품요리 전문","20180708","F","60대초",3535200,167.04
"관악구","우장산동","은평구","안암동","단품요리 전문","20180810","F","20대초",296400,177.84
"서초구","길음1동","용산구","신정2동","가정식","20190108","F","40대초",1086480,172.08
"양천구","삼양동","종로구","연남동","단품요리 전문","20180723","F","20대후",954504,108.56
"관악구","상봉1동","관악구","둔촌2동","단품요리 전문","20191129","M","60대후",177480,56.76
"관악구","잠실본동","중구","수유3동","햄버거","20190518","F","50대후",3976224,181.8
"중구","하계1동","송파구","반포4동","피자","20180313","F","30대초",7207200,10.12
"송파구","도봉1동","강북구","아현동","커피","20180530","F","20대후",135800,178.2
"성동구","성내2동","송파구","성수2가3동","단품요리 전문","20181109","M","30대후",252396,180.36
"성동구","응암3동","영등포구","개포2동","단품요리 전문","20190913","M","20대후",559488,103.74
"강동구","원효로1동","종로구","역삼1동","단품요리 전문","20190311","F","50대초",273240,181.8
"종로구","보문동","서대문구","혜화동","가정식","20170107","F","60대후",726880,181.08
"강동구","신사동","성동구","여의동","단품요리 전문","20180625","M","20대후",932880,181.08
"마포구","송천동","서대문구","서초4동","단품요리 전문","20170701","F","20대후",253000,14.76
"도봉구","목5동","강남구","장안1동","피자","20180731","M","30대초",1024800,14.55
"강남구","개포1동","서초구","구로3동","치킨","20190709","F","30대후",23652720,195.6
"마포구","응암1동","송파구","서림동","가정식","20180605","F","20대후",393600,20.04
"서초구","공릉2동","구로구","조원동","일식","20180409","F","30대초",1359360,154.69
"서초구","응봉동","서초구","한강로동","양식","20190713","M","40대후",362160,111.36
"관악구","혜화동","동대문구","회현동","가정식","20181004","M","50대초",592200,132.16
"양천구","삼전동","종로구","서교동","가정식","20171124","F","30대초",488880,70.7
"서초구","월곡2동","종로구","광희동","단품요리 전문","20190118","M","30대후",915135,29.64
"마포구","방배본동","송파구","종로1.2.3.4가동","단품요리 전문","20181111","M","50대후",222720,141.12
"중랑구","면목본동","중구","양재1동","가정식","20181220","M","50대후",154665,172.08
"관악구","인헌동","강동구","삼선동","커피","20191210","M","40대초",1901325,125.25
"은평구","인헌동","성동구","삼성2동","베이커리","20171113","M","30대초",1976040,181.8
"서초구","구로1동","노원구","행당1동","단품요리 전문","20180527","M","40대후",421950,177.84
"강북구","금호2.3가동","구로구","화양동","분식","20181226","F","30대초",1223539.2,48.9
"서초구","구의3동","종로구","왕십리도선동","가정식","20181215","F","70대이상",997920,176.75
"구로구","청룡동","관악구","잠실2동","중식","20180603","F","20대초",1871100,91.26
"성북구","북가좌2동","용산구","종로5.6가동","가정식","20181212","M","20대초",2540160,101
"마포구","문래동","강남구","서교동","가정식","20180709","M","30대초",14054040,38.24
"구로구","상도1동","종로구","서교동","햄버거","20190222","F","30대후",340875,106.47
"도봉구","이문2동","동작구","쌍문3동","햄버거","20170402","M","20대후",9425520,181.08
"양천구","노량진2동","금천구","종암동","중식","20181006","F","40대초",2444580,76.05
"양천구","염창동","성북구","신촌동","동남아/인도음식","20190921","F","60대초",1837700,169.92
"강북구","월계3동","강남구","종로5.6가동","햄버거","20180605","F","50대후",65729664,19.76
"송파구","이화동","강남구","명동","베이커리","20170106","M","20대후",2487240,176.76
"서초구","구로1동","강남구","시흥3동","가정식","20180525","M","40대초",224675,227.25
"성동구","대흥동","동대문구","신촌동","가정식","20180315","M","20대초",2134080,88.92
"양천구","사근동","성동구","종로1.2.3.4가동","단품요리 전문","20190516","F","60대후",696000,170.28
"관악구","압구정동","동작구","방이2동","단품요리 전문","20180427","F","20대초",1381680,181.8
"동작구","충현동","서대문구","노량진1동","피자","20181107","M","20대후",537900,175.68
"양천구","남가좌1동","영등포구","혜화동","단품요리 전문","20170725","F","20대후",361372,85.51
"노원구","개봉2동","마포구","역삼2동","가정식","20170203","F","20대후",493024,56.76
"중랑구","신정3동","마포구","신사1동","단품요리 전문","20180811","M","20대후",699360,34.72
"중구","답십리2동","영등포구","상도3동","단품요리 전문","20180105","F","40대초",727200,181.8
"서대문구","노량진2동","구로구","반포4동","주스","20190909","M","40대후",666330,14.82
"마포구","상봉2동","마포구","도곡2동","구내식당/푸드코트","20170911","M","40대후",545400,169.92
"중랑구","노량진1동","송파구","혜화동","피자","20180526","F","20대후",2089696,182.52
"마포구","시흥5동","광진구","신촌동","커피","20180812","M","20대후",1877590,116.4
"관악구","창4동","용산구","가회동","단품요리 전문","20190421","M","30대초",877920,75.75
"용산구","상일동","강남구","종로1.2.3.4가동","단품요리 전문","20170807","F","50대후",187116,89.87
"광진구","종암동","송파구","연남동","가정식","20170709","F","20대초",5999400,167.04
"마포구","공덕동","종로구","종로1.2.3.4가동","단품요리 전문","20180404","M","60대초",20219760,181.8
"양천구","대방동","송파구","영등포동","피자","20180623","M","20대초",327360,167.04
"성북구","성내3동","용산구","대학동","분식","20191013","F","50대후",2583900,20.16
"광진구","양재1동","광진구","수유3동","베이커리","20191228","F","30대초",648600,25.15
"노원구","오륜동","강북구","마장동","가정식","20180411","F","50대후",326952,177.84
"양천구","공릉2동","관악구","반포4동","베이커리","20171229","F","40대후",1229800,123.5
"광진구","쌍문1동","용산구","잠실3동","분식","20190905","F","30대초",5091670,177.84
"노원구","서원동","서초구","쌍문1동","단품요리 전문","20180618","M","20대초",988200,59.28
"서대문구","석관동","관악구","역삼2동","단품요리 전문","20171119","F","20대후",4935060,179.64
"강동구","연희동","금천구","성수2가3동","단품요리 전문","20190422","F","50대후",11594880,68.74
"송파구","장지동","용산구","대치4동","분식","20190528","F","20대후",1436220,178.56
"양천구","발산1동","동대문구","영등포동","햄버거","20180201","F","30대초",181800,61.36
"중구","반포1동","강남구","염창동","단품요리 전문","20191015","M","40대후",5592600,107.36
"관악구","왕십리도선동","종로구","서초4동","단품요리 전문","20170607","F","50대초",1237320,79.9
"양천구","진관동","강동구","필동","패밀리 레스토랑","20191025","F","30대초",2156220,170.34
"성동구","평창동","송파구","화양동","가정식","20180204","M","30대초",5840640,177.84
"양천구","신림동","마포구","신사동","가정식","20180106","M","60대초",4741760,176.76
"성동구","잠원동","영등포구","가락2동","샌드위치/토스트","20181230","M","20대후",999900,79.84
"강동구","신정6동","종로구","서초2동","가정식","20170503","F","40대초",3278880,177.48
"강남구","구산동","용산구","중앙동","햄버거","20170725","M","30대초",1111630,54.56
"영등포구","우장산동","송파구","고척2동","가정식","20171230","F","40대후",1873760,15.18
"송파구","신촌동","마포구","가락본동","단품요리 전문","20190925","F","70대이상",1267280,181.8
"강북구","흑석동","광진구","이화동","햄버거","20180319","M","20대초",743985,182.52
"강북구","답십리1동","강서구","성수1가2동","단품요리 전문","20170910","M","30대초",3492000,340.56
"성북구","화곡8동","종로구","신촌동","단품요리 전문","20171201","F","20대초",679050,177.12
"노원구","중곡3동","영등포구","종로1.2.3.4가동","커피","20190507","M","30대초",4417920,85.17
"강서구","대방동","구로구","방학1동","단품요리 전문","20170323","F","20대후",4148280,99.2
"마포구","사근동","구로구","회현동","가정식","20171001","M","30대초",919100,14.88
"양천구","자양4동","종로구","노량진1동","단품요리 전문","20180605","F","20대후",3378960,180.36
"영등포구","삼전동","강남구","화곡8동","베이커리","20180618","F","20대후",941160,170.28
"용산구","논현2동","중구","둔촌2동","단품요리 전문","20171227","M","30대초",2857040,167.62
"금천구","목3동","서대문구","이화동","단품요리 전문","20190503","F","20대후",5317272,55.77
"서초구","상계10동","용산구","사근동","분식","20190720","M","30대후",852150,174.6
"도봉구","반포1동","동작구","사근동","구내식당/푸드코트","20181013","F","30대후",5435820,169.92
"종로구","난향동","관악구","신도림동","주스","20170513","M","20대초",5196450,181.8
"강서구","목4동","관악구","응암3동","베이커리","20170310","F","20대후",2596160,75.2
"마포구","장안1동","강남구","종로1.2.3.4가동","단품요리 전문","20191020","M","40대초",2855320,166.65
"서초구","독산3동","종로구","당산1동","가정식","20170205","F","30대후",4617720,181.8
"서초구","암사1동","종로구","혜화동","가정식","20180401","F","20대후",1513200,178.56
"관악구","중화2동","종로구","은천동","커피","20171225","F","20대후",2129400,54.56
"서대문구","인헌동","종로구","종로5.6가동","베이커리","20181205","M","20대후",584496,166.94
"마포구","잠원동","강동구","역삼2동","커피","20190831","F","50대초",829950,181.8
"종로구","개포1동","마포구","화양동","가정식","20190120","M","20대후",201720,167.04
"은평구","성내2동","용산구","서초4동","중식","20170316","M","30대초",5726700,75.75
"마포구","금호1가동","관악구","신사동","베이커리","20180314","M","20대후",3458000,132.44
"성북구","면목7동","구로구","사당1동","단품요리 전문","20180909","F","20대후",1636200,116.15
"관악구","화곡1동","구로구","중계1동","단품요리 전문","20190521","F","20대후",739410,179.64
"관악구","목1동","영등포구","상도3동","치킨","20191207","M","40대후",171700,177.84
"서대문구","천호3동","성북구","반포4동","커피","20190707","F","20대후",1546048,181.8
"영등포구","중계2.3동","중구","방이2동","단품요리 전문","20180414","F","30대후",326040,86.04
"마포구","전농1동","동작구","서초3동","가정식","20190727","M","20대후",964656,37.76
"성동구","신월7동","관악구","이화동","단품요리 전문","20190927","F","30대후",1572620,107.36
"서대문구","용강동","영등포구","연남동","가정식","20190723","M","40대후",444600,177.84
"은평구","무악동","마포구","상계2동","피자","20181011","F","40대후",1184730,170.28
"강동구","방학2동","용산구","후암동","단품요리 전문","20181221","M","20대후",404000,106.26
"강남구","석관동","영등포구","역삼1동","일식","20190119","M","20대후",2074800,165.92
"은평구","도화동","송파구","신대방1동","단품요리 전문","20180914","M","30대초",7214400,170.28
"강남구","서교동","강서구","대치2동","분식","20180617","M","30대후",343728,79.04
"강서구","방화1동","중구","청담동","커피","20180209","F","50대초",115596,74.1
"양천구","옥수동","종로구","서교동","가정식","20170408","M","20대초",662560,121.2
"송파구","인헌동","강남구","대치2동","햄버거","20180720","F","50대후",388850,182.52
"양천구","개봉1동","강서구","한강로동","단품요리 전문","20171211","M","20대후",468480,181.08
"은평구","마장동","종로구","상암동","분식","20190319","M","50대초",119760,180.36
"양천구","길음2동","광진구","청량리동","가정식","20191013","M","20대후",8181000,24.95
"관악구","구산동","강동구","사당2동","단품요리 전문","20191224","F","30대초",1194830,181.08
"성북구","청룡동","용산구","망원1동","단품요리 전문","20170830","F","20대후",422520,60.12
"송파구","성산1동","양천구","신월4동","단품요리 전문","20180424","F","20대후",3556800,170.8
"노원구","구의2동","강남구","서원동","분식","20190316","F","40대후",4481880,128.44
"영등포구","천호1동","종로구","종로1.2.3.4가동","가정식","20170528","M","50대초",5448960,103.53
"강서구","도화동","강동구","역삼1동","분식","20180807","M","20대후",3273600,146.45
"동작구","문정2동","관악구","사당1동","단품요리 전문","20191225","F","30대초",3751488,178.56
"강서구","강일동","성북구","목3동","단품요리 전문","20180818","M","20대후",585800,182.16
"중랑구","번3동","용산구","송중동","단품요리 전문","20190618","M","20대후",404000,39.92
"강북구","영등포본동","성북구","종로1.2.3.4가동","도시락","20181212","M","30대후",824850,39.28
"마포구","방배2동","광진구","이태원1동","양식","20180608","M","40대후",3095040,30.3
"마포구","화곡8동","마포구","구로3동","단품요리 전문","20170528","F","20대후",384930,33.04
"성동구","정릉3동","관악구","남가좌2동","단품요리 전문","20170310","F","30대후",1064124,50.3
"관악구","여의동","광진구","남영동","단품요리 전문","20180523","M","20대초",1342656,45.45
