seq,Nat,Team,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean SBS Jump,Mean Throw,Mean Twist,Mean Lift,Mean CO,Mean PR,Mean SS
11,🇮🇹,Ghilardi / Ambrosini 5,0,2,3,0,0,180.96n=5,81.64n=5,90.17n=5,91.60n=5,2.71n=15,5.42n=15,6.42n=10,7.04n=20,7.76n=10,7.72n=10,7.59n=10
12,🇨🇦,Pereira / Michaud 9,0,1,2,0,0,178.56n=3,87.38n=3,91.08n=3,89.15n=3,4.91n=9,3.61n=9,5.72n=6,6.91n=12,7.51n=6,7.46n=6,7.40n=6
13,🇬🇧,Vaipan-Law / Digby 16,0,2,2,0,0,177.91n=4,82.45n=4,92.20n=4,85.70n=4,4.00n=12,4.74n=12,6.40n=8,6.79n=16,7.13n=8,7.15n=8,7.07n=8
14,🇵🇱,Chtchetinina / Wozniak 19,0,2,2,0,0,177.65n=4,84.42n=4,92.84n=4,84.81n=4,3.67n=12,4.77n=12,6.78n=8,7.10n=16,6.97n=8,7.09n=8,7.05n=8
15,🇺🇸,Chan / Howe 11,0,1,2,0,0,176.80n=3,79.15n=3,88.10n=3,89.37n=3,2.04n=9,5.14n=9,6.78n=6,7.08n=12,7.52n=6,7.43n=6,7.42n=6
16,🇺🇿,Geynish / Chigirev 38,0,1,2,0,0,176.20n=3,85.89n=3,91.90n=3,85.30n=3,4.33n=9,4.65n=9,6.80n=6,6.76n=12,7.18n=6,6.95n=6,7.15n=6
17,🇨🇦,Laurin / Éthier 17,0,1,2,0,0,172.08n=3,83.38n=3,91.00n=3,81.75n=3,4.73n=9,5.17n=9,5.94n=6,6.92n=12,6.82n=6,6.78n=6,6.83n=6
18,🇳🇱,Danilova / Tsiba 14,0,1,2,0,0,171.80n=3,84.73n=3,90.42n=3,81.72n=3,3.67n=9,6.15n=9,6.22n=6,6.43n=12,6.84n=6,6.73n=6,6.74n=6
19,🇨🇦,Bombardier / Mimar 70,0,1,0,0,0,170.51n=1,82.40n=1,88.17n=1,82.34n=1,3.71n=3,6.20n=3,4.77n=2,6.74n=4,6.85n=2,6.80n=2,6.88n=2
20,🇺🇸,Shin / Nagy 70,0,1,0,0,0,170.21n=1,80.24n=1,87.40n=1,82.81n=1,4.41n=3,4.61n=3,3.74n=2,7.01n=4,6.95n=2,6.82n=2,6.85n=2
21,🇨🇭,Vouillamoz / Bouvart 74,0,1,0,0,0,170.09n=1,84.10n=1,89.67n=1,80.42n=1,4.76n=3,4.24n=3,6.64n=2,6.95n=4,6.68n=2,6.68n=2,6.58n=2
22,🇯🇵,Nagaoka / Moriguchi 40,0,1,2,0,0,167.72n=3,81.83n=3,86.65n=3,82.07n=3,4.58n=9,3.80n=9,3.78n=6,7.61n=12,6.92n=6,6.60n=6,6.96n=6
23,🇺🇸,Mcbeath / Parkman 47,0,1,2,0,0,167.12n=3,84.01n=3,88.65n=3,80.14n=3,3.77n=9,5.50n=9,6.63n=6,6.75n=12,6.62n=6,6.52n=6,6.73n=6
24,🇨🇳,Zhang / Huang 54,3,0,0,0,0,165.94n=3,81.54n=3,89.90n=3,77.03n=3,4.33n=9,5.51n=9,7.02n=6,6.91n=9,6.38n=6,6.20n=6,6.59n=6
25,🇫🇷,Kovalev / Kovalev 18,0,1,2,0,0,157.53n=3,79.10n=3,79.09n=3,81.44n=3,2.45n=9,4.67n=9,4.89n=6,6.54n=12,6.82n=6,6.73n=6,6.80n=6
26,🇫🇮,Väänänen / Clerici 24,0,2,2,0,0,156.82n=4,85.30n=4,85.10n=4,74.22n=4,3.91n=12,4.00n=12,6.59n=8,6.19n=16,6.26n=8,6.07n=8,6.38n=8
27,🇩🇪,Roscher / Schuster 26,0,3,0,0,0,155.66n=3,79.44n=3,79.86n=3,76.14n=3,1.91n=9,3.78n=9,5.61n=6,6.67n=12,6.32n=6,6.30n=6,6.32n=6
28,🇨🇦,Desrochers / Thrasher 32,3,0,0,0,0,154.94n=3,77.17n=3,78.68n=3,77.59n=3,3.65n=9,2.69n=9,6.80n=6,6.90n=9,6.52n=6,6.38n=6,6.52n=6
29,🇵🇭,Gámez / Korovin 36,0,1,1,0,0,154.15n=2,75.14n=2,78.51n=2,77.14n=2,1.21n=6,3.91n=6,6.80n=4,6.59n=8,6.44n=4,6.39n=4,6.41n=4
30,🇺🇸,Williams / Lewer 35,0,1,1,0,0,149.64n=2,81.02n=2,78.47n=2,73.67n=2,3.29n=6,2.83n=6,6.64n=4,6.18n=8,6.20n=4,6.08n=4,6.19n=4
31,🇺🇸,Digerness / Sadusky 72,0,1,0,0,0,147.72n=1,78.84n=1,76.86n=1,73.86n=1,2.52n=3,4.58n=3,4.06n=2,6.28n=4,6.18n=2,6.18n=2,6.25n=2
32,🇺🇸,Flores / Wang 22,3,0,0,0,0,147.71n=3,76.33n=3,74.15n=3,74.90n=3,4.48n=9,3.98n=9,5.39n=6,5.16n=9,6.30n=6,6.24n=6,6.10n=6
33,🇸🇪,Crafoord / Crafoord 34,0,3,0,0,0,145.73n=3,74.14n=3,76.73n=3,69.67n=3,1.69n=9,3.94n=9,5.90n=6,6.60n=12,5.98n=6,5.68n=6,5.80n=6
34,🇨🇳,Zhang / Feng 68,1,0,0,0,0,145.55n=1,75.40n=1,77.22n=1,69.33n=1,3.34n=3,3.85n=3,6.62n=2,6.51n=3,5.78n=2,5.60n=2,5.96n=2
35,🇺🇦,Holichenko / Darenskyi 43,1,1,0,0,0,143.92n=2,73.92n=2,72.22n=2,73.71n=2,2.57n=6,3.05n=6,6.10n=4,6.56n=7,6.12n=4,5.99n=4,6.43n=4
36,🇦🇹,Schaller / Mayr 42,0,3,0,0,0,142.64n=3,78.51n=3,74.55n=3,69.42n=3,2.46n=9,3.56n=9,3.84n=6,6.33n=12,5.85n=6,5.75n=6,5.82n=6
37,🇦🇹,Izzo / Maierhofer 68,0,2,0,0,0,142.30n=2,77.54n=2,76.10n=2,67.20n=2,7.96n=6,3.76n=6,2.96n=4,4.69n=8,5.70n=4,5.35n=4,5.81n=4
38,🇰🇵,Ryom / Han,0,2,0,0,0,142.14n=2,78.08n=2,73.74n=2,69.90n=2,2.75n=6,3.06n=6,4.26n=4,6.55n=8,5.81n=4,5.65n=4,6.05n=4
39,🇯🇵,Shimizu / Honda 56,3,0,0,0,0,140.71n=3,71.80n=3,71.35n=3,70.03n=3,5.28n=9,3.32n=9,3.26n=6,6.21n=9,5.84n=6,5.68n=6,5.95n=6
40,🇫🇷,Telemaque / Coulon 27,3,0,0,0,0,140.20n=3,65.63n=3,69.66n=3,70.54n=3,2.95n=9,4.53n=9,3.38n=6,5.78n=9,5.85n=6,5.86n=6,5.68n=6
41,🇮🇹,Caldara / Maglio 25,0,2,0,0,0,137.78n=2,75.13n=2,69.28n=2,69.50n=2,1.65n=6,3.73n=6,5.75n=4,5.01n=8,5.94n=4,5.80n=4,5.90n=4
42,🇨🇦,Quattrocchi / Desmarais 61,3,0,0,0,0,137.18n=3,67.02n=3,67.82n=3,69.70n=3,3.24n=9,3.24n=9,3.52n=6,6.55n=9,5.77n=6,5.76n=6,5.76n=6
43,🇨🇳,Wang / Zhu 49,0,0,1,0,0,136.90n=1,73.55n=1,66.35n=1,70.55n=1,3.54n=3,4.30n=3,4.90n=2,4.56n=4,6.08n=2,5.91n=2,6.02n=2
44,🇫🇷,Faula / Belle 62,0,3,1,0,0,135.98n=4,77.49n=4,71.94n=4,66.30n=4,2.71n=12,3.41n=12,4.25n=8,6.10n=16,5.52n=8,5.45n=8,5.58n=8
45,🇨🇿,Kucianova / Bidar 52,0,2,0,0,0,135.33n=2,77.39n=2,70.08n=2,66.24n=2,3.25n=6,4.19n=6,3.36n=4,4.91n=8,5.56n=4,5.40n=4,5.72n=4
46,🇺🇸,Fitzpatrick / Bearinger 77,0,1,0,0,0,134.86n=1,71.70n=1,70.51n=1,64.35n=1,0.88n=3,2.91n=3,5.24n=2,6.44n=4,5.48n=2,5.20n=2,5.45n=2
47,🇺🇸,Martins / Bedard 51,0,1,1,0,0,133.64n=2,65.99n=2,62.24n=2,73.39n=2,1.97n=6,4.35n=6,3.66n=4,4.99n=8,6.30n=4,6.03n=4,6.19n=4
48,🇨🇦,Rolland / Lacasse 79,1,0,0,0,0,130.39n=1,64.60n=1,64.38n=1,67.01n=1,2.03n=3,2.76n=3,3.17n=2,6.72n=3,5.61n=2,5.39n=2,5.57n=2
49,🇮🇸,Gunnarsdóttír / Piazza,0,1,0,0,0,129.35n=1,72.68n=1,68.94n=1,63.41n=1,3.47n=3,3.09n=3,3.52n=2,6.03n=4,5.28n=2,5.12n=2,5.32n=2
50,🇪🇸,Mcintosh / Zandrón,0,2,0,0,0,129.04n=2,73.44n=2,66.74n=2,63.80n=2,3.83n=6,4.24n=6,5.48n=4,2.54n=8,5.49n=4,5.14n=4,5.68n=4
51,🇺🇸,Hansen / Church 65,2,0,0,0,0,128.95n=2,64.61n=2,65.53n=2,63.92n=2,3.24n=6,2.75n=6,5.15n=4,5.42n=6,5.44n=4,5.37n=4,5.13n=4
52,🇺🇸,Hanns / Neudecker 81,0,1,0,0,0,128.78n=1,78.46n=1,70.30n=1,60.48n=1,2.24n=3,4.27n=3,4.51n=2,5.54n=4,5.12n=2,5.08n=2,5.02n=2
53,🇺🇸,Carpenter / Maravilla 63,2,0,0,0,0,127.52n=2,64.80n=2,63.55n=2,65.46n=2,3.46n=6,3.00n=6,2.79n=4,5.90n=6,5.56n=4,5.36n=4,5.51n=4
54,🇫🇷,Ehrhard / Pellegris 31,2,1,0,0,0,126.51n=3,70.93n=3,64.33n=3,63.18n=3,2.65n=9,2.99n=9,4.06n=6,5.22n=10,5.37n=6,5.09n=6,5.43n=6
55,🇿🇦,Mauder / Wilkinson 59,0,2,0,0,0,125.91n=2,68.65n=2,66.96n=2,59.44n=2,1.99n=6,3.66n=6,3.05n=4,5.60n=8,5.09n=4,5.05n=4,4.88n=4
56,🇮🇱,Enkina / Kovalenko 50,2,0,0,0,0,125.56n=2,66.16n=2,63.92n=2,62.64n=2,4.19n=6,4.13n=6,3.13n=4,4.28n=6,5.20n=4,5.06n=4,5.35n=4
57,🇮🇹,Polman / Renoldi 57,2,0,0,0,0,125.52n=2,66.88n=2,63.20n=2,62.32n=2,2.62n=6,3.47n=6,4.29n=4,5.56n=6,5.24n=4,5.08n=4,5.19n=4
58,🇺🇸,Moss / Galbavy 66,2,0,0,0,0,124.67n=2,68.74n=2,61.84n=2,65.34n=2,3.80n=6,3.21n=6,3.38n=4,5.01n=6,5.56n=4,5.28n=4,5.48n=4
59,🇮🇹,Napolitano / Comi 28,2,0,0,0,0,122.22n=2,56.56n=2,57.74n=2,64.99n=2,4.53n=6,2.97n=6,3.81n=4,2.72n=6,5.40n=4,5.32n=4,5.47n=4
60,🇺🇸,Mcdanold / Felberbaum 73,1,0,0,0,0,121.82n=1,59.60n=1,58.40n=1,63.42n=1,3.47n=3,2.63n=3,2.61n=2,5.40n=3,5.30n=2,5.30n=2,5.16n=2
61,🇭🇺,Rothenbuehler / Berei,1,0,0,0,0,121.11n=1,57.10n=1,59.02n=1,63.09n=1,1.93n=3,2.70n=3,2.40n=2,6.38n=3,5.22n=2,5.08n=2,5.30n=2
62,🇨🇿,Cohen / Vochozka 36,2,0,0,0,0,120.42n=2,71.85n=2,63.24n=2,58.68n=2,3.82n=6,2.59n=6,4.67n=4,5.03n=6,4.98n=4,4.77n=4,4.94n=4
63,🇪🇸,Scotti / Quesada Grau 64,2,0,0,0,0,119.60n=2,54.50n=2,58.31n=2,61.28n=2,2.50n=6,2.76n=6,3.62n=4,6.06n=6,5.18n=4,5.09n=4,4.90n=4
64,🇫🇷,Alteryd / Pierre,0,1,0,0,0,118.67n=1,62.44n=1,58.07n=1,61.60n=1,0.57n=3,2.66n=3,3.21n=2,6.04n=4,5.25n=2,4.98n=2,5.25n=2
65,🇸🇰,Heckova / Valky 76,2,0,0,0,0,118.19n=2,56.70n=2,57.45n=2,62.74n=2,1.51n=6,2.47n=6,3.45n=4,5.27n=6,5.29n=4,5.08n=4,5.22n=4
66,🇩🇪,Salatzki / Röseler 75,2,0,0,0,0,115.97n=2,68.25n=2,60.04n=2,56.92n=2,2.49n=6,3.73n=6,3.50n=4,5.07n=6,4.76n=4,4.61n=4,4.91n=4
67,🇸🇰,Sitková / Kubacák 67,2,0,0,0,0,109.90n=2,60.12n=2,56.84n=2,54.56n=2,2.38n=6,2.71n=6,3.20n=4,5.50n=6,4.66n=4,4.36n=4,4.65n=4
68,🇵🇱,Pacha / Derechowski 87,1,0,0,0,0,109.90n=1,54.10n=1,51.79n=1,58.11n=1,3.08n=3,2.94n=3,3.00n=2,3.00n=3,4.82n=2,4.72n=2,4.92n=2
69,🇨🇭,Pazienza / Knorr 85,1,0,0,0,0,109.80n=1,55.30n=1,50.04n=1,59.76n=1,1.20n=3,3.50n=3,2.90n=2,4.14n=3,5.02n=2,4.86n=2,4.98n=2
70,🇩🇪,Ackermann / Harms 46,2,0,0,0,0,109.78n=2,61.66n=2,53.85n=2,56.42n=2,1.51n=6,3.03n=6,4.26n=4,4.82n=6,4.80n=4,4.66n=4,4.75n=4
71,🇪🇸,Moudden / Lázaro García 60,2,0,0,0,0,109.52n=2,53.65n=2,53.38n=2,57.14n=2,1.45n=6,2.78n=6,3.05n=4,5.57n=6,4.85n=4,4.70n=4,4.68n=4
72,🇮🇹,Merrone / Tommasi,1,0,0,0,0,108.60n=1,58.52n=1,53.04n=1,57.56n=1,2.44n=3,2.93n=3,2.92n=2,4.72n=3,4.94n=2,4.60n=2,4.80n=2
73,🇬🇧,Wood / Lapsky 88,2,0,0,0,0,102.56n=2,54.05n=2,48.75n=2,55.82n=2,2.47n=6,3.79n=6,2.42n=4,3.76n=6,4.70n=4,4.78n=4,4.54n=4
74,🇫🇷,Regnier / Nandrot,1,0,0,0,0,98.57n=1,49.54n=1,44.94n=1,54.63n=1,2.20n=3,2.17n=3,2.63n=2,4.11n=3,4.64n=2,4.56n=2,4.53n=2
75,🇫🇷,Liget-Latus / Fisher,1,0,0,0,0,93.69n=1,52.90n=1,43.46n=1,52.23n=1,2.85n=3,2.66n=3,2.96n=2,3.25n=3,4.57n=2,4.26n=2,4.54n=2
76,🇬🇧,Ritchie / Mcleod,1,0,0,0,0,92.40n=1,46.27n=1,41.36n=1,52.04n=1,1.89n=3,2.56n=3,2.98n=2,4.18n=3,4.46n=2,4.18n=2,4.44n=2
77,🇮🇹,Profaizer / Mandelli,1,0,0,0,0,90.03n=1,45.54n=1,39.28n=1,50.75n=1,1.94n=3,1.86n=3,2.78n=2,2.19n=3,4.38n=2,4.08n=2,4.30n=2
78,🇬🇧,Davison / Borisov 82,1,0,0,0,0,75.93n=1,42.78n=1,31.52n=1,47.41n=1,1.35n=3,2.22n=3,2.44n=2,3.31n=3,4.07n=2,3.94n=2,4.04n=2
