index,Nat,Team,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Twizzle,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
85,🇦🇲,Dobroserdova / Pellegrini 126,0,1,0,0,0,135.94n=1,71.50n=1,77.41n=1,58.53n=1,7.58n=2,8.00n=2,1.68n=4,5.90n=2,5.86n=2,5.77n=2
86,🇨🇦,Homick / Buelow 128,1,0,0,0,0,135.86n=1,64.62n=1,73.72n=1,62.14n=1,5.60n=2,8.22n=2,2.34n=2,6.28n=2,6.20n=2,6.06n=2
87,🇪🇸,Sabourin / Bermejo 106,0,2,0,0,0,135.59n=2,69.88n=2,75.28n=2,60.30n=2,4.86n=4,8.20n=4,2.30n=7,6.20n=4,6.14n=4,5.78n=4
88,🇵🇱,Polibina / Golovishnikov 81,0,1,0,0,0,135.24n=1,73.12n=1,77.11n=1,58.13n=1,7.03n=2,6.86n=2,1.92n=4,5.98n=2,5.72n=2,5.82n=2
89,🇫🇷,Duprat / Taddei-Dugue 93,1,0,0,0,0,133.59n=1,68.86n=1,75.21n=1,58.38n=1,6.06n=2,8.66n=2,2.10n=2,5.98n=2,5.70n=2,5.72n=2
90,🇩🇪,Schubert / Remeshevskiy 74,2,0,0,0,0,132.68n=2,64.55n=2,71.86n=2,61.81n=2,7.65n=4,8.11n=4,2.00n=4,6.25n=4,6.18n=4,6.12n=4
91,🇸🇪,Kivioja / Pellnor,0,1,0,0,0,132.16n=1,67.57n=1,72.25n=1,59.91n=1,7.02n=2,7.48n=2,1.89n=4,6.00n=2,6.02n=2,5.95n=2
92,🇨🇦,Cinçon-Debout / Celestino 86,2,0,0,0,0,131.70n=2,61.54n=2,70.44n=2,61.27n=2,5.94n=4,9.10n=4,2.38n=4,6.22n=4,6.18n=4,5.97n=4
93,🇮🇹,Petracchi / Basile 90,2,0,0,0,0,129.96n=2,64.43n=2,71.14n=2,58.82n=2,7.11n=4,8.17n=4,2.02n=4,5.97n=4,5.86n=4,5.76n=4
94,🇦🇿,Ritter / Brykalov 134,0,3,0,0,0,129.84n=3,71.85n=3,75.31n=3,55.20n=3,6.46n=6,6.97n=6,1.71n=12,5.57n=6,5.52n=6,5.46n=6
95,🇨🇳,Lin / Gao 91,0,2,0,0,0,129.41n=2,70.34n=2,74.02n=2,55.88n=2,6.43n=4,6.96n=4,1.91n=8,5.64n=4,5.52n=4,5.61n=4
96,🇦🇲,Azroian / Gruzdev,0,2,0,0,0,128.37n=2,69.60n=2,73.66n=2,55.21n=2,6.50n=4,7.11n=4,2.10n=7,5.44n=4,5.40n=4,5.66n=4
97,🇧🇪,Beznosikova / Leleu 65,2,0,0,0,0,128.28n=2,64.18n=2,70.62n=2,58.16n=2,7.28n=4,8.35n=4,1.47n=4,5.84n=4,5.76n=4,5.69n=4
98,🇲🇽,Aversano Martinez / Bennett,0,2,0,0,0,128.10n=2,73.30n=2,75.08n=2,53.03n=2,6.64n=4,6.71n=4,1.56n=8,5.31n=4,5.32n=4,5.27n=4
99,🇸🇰,Vaclavikova / Morozov 86,2,0,0,0,0,128.10n=2,62.50n=2,71.96n=2,57.13n=2,7.38n=4,7.87n=4,2.31n=4,5.70n=4,5.66n=4,5.59n=4
100,🇺🇸,Renzi / Lissauer 104,1,0,0,0,0,128.10n=1,62.38n=1,68.93n=1,60.17n=1,5.63n=2,8.08n=2,2.00n=2,6.04n=2,6.10n=2,5.90n=2
101,🇹🇷,Yucel / Pak 77,2,0,0,0,0,127.80n=2,64.81n=2,71.08n=2,56.72n=2,7.14n=4,8.08n=4,2.08n=4,5.70n=4,5.66n=4,5.64n=4
102,🇵🇱,Borysova / Freeman 113,0,3,0,0,0,127.39n=3,68.57n=3,72.29n=3,55.09n=3,5.71n=6,7.38n=6,1.89n=12,5.58n=6,5.46n=6,5.46n=6
103,🇨🇦,Martins / Kowalczyk 130,1,0,0,0,0,127.09n=1,63.75n=1,68.51n=1,59.58n=1,5.45n=2,8.06n=2,2.02n=2,6.00n=2,5.85n=2,5.88n=2
104,🇦🇹,Straub / Straub 85,2,0,0,0,0,126.46n=2,60.15n=2,67.04n=2,59.42n=2,6.40n=4,8.26n=4,1.86n=4,6.08n=4,5.90n=4,5.85n=4
105,🇯🇵,Yoshida / Ogahara 130,1,0,0,0,0,125.51n=1,62.62n=1,70.74n=1,55.77n=1,7.15n=2,7.96n=2,2.16n=2,5.58n=2,5.66n=2,5.46n=2
106,🇯🇵,Yamashita / Nagata 123,2,0,0,0,0,125.26n=2,62.77n=2,69.62n=2,55.64n=2,7.20n=4,7.95n=4,2.02n=4,5.52n=4,5.58n=4,5.47n=4
107,🇨🇳,Yu / Liu 118,2,0,0,0,0,124.52n=2,63.49n=2,68.32n=2,56.20n=2,6.73n=4,8.31n=4,1.73n=4,5.73n=4,5.54n=4,5.50n=4
108,🇳🇱,Verhaegh / Van Geffen 73,0,1,0,0,0,123.87n=1,70.25n=1,70.25n=1,53.62n=1,4.66n=2,6.62n=2,1.98n=4,5.50n=2,5.28n=2,5.23n=2
109,🇨🇳,Yin / Yang,1,0,0,0,0,123.61n=1,64.50n=1,68.63n=1,54.98n=1,7.96n=2,7.50n=2,1.93n=2,5.68n=2,5.45n=2,5.40n=2
110,🇦🇿,Weatherby / Kolosovskyi 101,0,2,0,0,0,123.42n=2,71.75n=2,71.35n=2,52.56n=2,6.22n=4,6.91n=4,1.32n=8,5.36n=4,5.24n=4,5.25n=4
111,🇲🇽,Stanley / Urano,0,1,0,0,0,122.73n=1,74.37n=1,72.98n=1,51.75n=1,6.58n=2,6.56n=2,1.42n=4,5.32n=2,5.12n=2,5.10n=2
112,🇫🇷,Cohas-Bogey / Grishin 139,1,0,0,0,0,121.89n=1,60.38n=1,64.99n=1,56.90n=1,7.30n=2,7.36n=2,1.68n=2,5.76n=2,5.64n=2,5.50n=2
113,🇺🇸,Deych / Hu 135,1,0,0,0,0,121.85n=1,57.43n=1,63.86n=1,59.99n=1,6.76n=2,8.06n=2,2.34n=2,6.02n=2,5.94n=2,6.07n=2
114,🇨🇦,Brière / Lévesque,2,0,0,0,0,121.82n=2,63.95n=2,67.69n=2,55.12n=2,5.27n=4,7.72n=4,1.98n=3,5.53n=4,5.47n=4,5.44n=4
115,🇨🇦,Gover / Wilson-French,1,0,0,0,0,121.58n=1,62.74n=1,65.10n=1,56.48n=1,6.40n=2,7.44n=2,1.44n=2,5.75n=2,5.60n=2,5.58n=2
116,🇨🇦,Carandiuc / Carandiuc 135,1,0,0,0,0,121.47n=1,64.12n=1,67.05n=1,54.42n=1,6.33n=2,7.75n=2,1.84n=2,5.52n=2,5.35n=2,5.45n=2
117,🇩🇪,Kruk / Eisenhaber 76,2,0,0,0,0,121.30n=2,61.44n=2,64.34n=2,57.46n=2,5.56n=4,7.49n=4,1.29n=4,5.88n=4,5.75n=4,5.62n=4
118,🇦🇺,Malcolm / Chant,0,1,0,0,0,121.09n=1,70.30n=1,69.91n=1,52.18n=1,6.34n=2,6.34n=2,1.53n=4,5.30n=2,5.28n=2,5.15n=2
119,🇫🇮,Ivanitskiy / Sperry,0,2,0,0,0,120.68n=2,67.34n=2,69.33n=2,51.85n=2,5.52n=4,6.98n=4,1.86n=8,5.36n=4,5.10n=4,5.13n=4
120,🇨🇳,Ding / Zheng,1,0,0,0,0,120.52n=1,62.37n=1,65.14n=1,55.38n=1,7.10n=2,7.42n=2,1.34n=2,5.65n=2,5.38n=2,5.50n=2
121,🇮🇹,Bianchi / Rota,1,0,0,0,0,120.20n=1,63.25n=1,67.82n=1,52.38n=1,6.48n=2,7.73n=2,1.87n=2,5.39n=2,5.20n=2,5.12n=2
122,🇺🇦,Tkachenko / Pesca,1,0,0,0,0,119.57n=1,58.62n=1,61.62n=1,57.95n=1,4.72n=2,7.68n=2,1.87n=2,5.92n=2,5.82n=2,5.66n=2
123,🇬🇧,Hairsine / Surenkov-Gultchev 86,2,0,0,0,0,118.59n=2,63.18n=2,66.98n=2,54.60n=2,5.71n=4,7.33n=4,1.68n=4,5.50n=4,5.38n=4,5.48n=4
124,🇨🇿,Blaasova / Blaas 96,2,0,0,0,0,118.46n=2,61.26n=2,64.88n=2,54.08n=2,6.22n=4,7.70n=4,1.79n=4,5.47n=4,5.41n=4,5.30n=4
125,🇩🇪,Kóbor / Kóbor 135,2,0,0,0,0,118.00n=2,62.06n=2,64.82n=2,53.68n=2,6.79n=4,7.30n=4,1.15n=4,5.46n=4,5.33n=4,5.34n=4
126,🇪🇸,Roberts / Alís Bosquet 142,0,2,0,0,0,116.60n=2,66.72n=2,65.08n=2,51.52n=2,6.24n=4,6.44n=4,1.42n=8,5.25n=4,5.14n=4,5.10n=4
127,🇵🇱,Grzegorzewska / Muratov 120,2,0,0,0,0,116.44n=2,64.68n=2,66.96n=2,49.49n=2,6.64n=4,7.16n=4,1.66n=4,5.10n=4,4.88n=4,4.74n=4
128,🇨🇭,Lévy / Llorente,1,0,0,0,0,115.99n=1,63.12n=1,65.18n=1,51.81n=1,6.26n=2,7.18n=2,2.05n=2,5.26n=2,5.16n=2,5.02n=2
129,🇨🇿,Zaková / Mencl 103,2,0,0,0,0,115.16n=2,61.30n=2,61.78n=2,53.88n=2,5.32n=4,7.38n=4,0.89n=4,5.48n=4,5.23n=4,5.41n=4
130,🇨🇭,Tscharner / Wiederkehr,1,0,0,0,0,115.06n=1,63.24n=1,65.31n=1,49.75n=1,6.21n=2,7.21n=2,1.12n=2,5.00n=2,4.92n=2,4.84n=2
131,🇹🇼,Lai / Becker-Pos,1,0,0,0,0,114.66n=1,64.25n=1,65.04n=1,49.62n=1,6.09n=2,6.96n=2,1.50n=2,4.90n=2,4.98n=2,4.92n=2
132,🇭🇰,Kang / Chau,2,0,0,0,0,114.32n=2,63.38n=2,64.04n=2,50.27n=2,6.13n=4,7.88n=4,1.34n=4,5.06n=4,4.95n=4,4.99n=4
133,🇰🇷,Breau / Lee,2,0,0,0,0,113.43n=2,62.62n=2,63.54n=2,49.89n=2,6.93n=4,7.24n=4,1.64n=4,5.10n=4,4.95n=4,4.90n=4
134,🇸🇪,Mackenzie / Lockwood 142,1,0,0,0,0,110.47n=1,62.75n=1,63.20n=1,47.27n=1,5.42n=2,7.24n=2,1.52n=2,4.88n=2,4.80n=2,4.52n=2
135,🇬🇧,Marler Davies / Black 111,1,0,0,0,0,109.55n=1,56.63n=1,59.52n=1,50.03n=1,6.18n=2,7.16n=2,2.11n=2,5.09n=2,5.09n=2,4.84n=2
